student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00354,Zhijiang University,之江大學,Ohio State University,Ohio State University,1934,1941,['Unspecified'],['Master'],China,US
N00355,Tsinghua University,清華大學,University of London,University of London,1930,1937,['Unspecified'],['Unspecified'],China,Other
N00356,Lingnan University,嶺南大學,Kansas State College,Kansas State College,1929,1936,['Unspecified'],['Bachelor'],China,US
N00356,Kansas State College,Kansas State College,Art Institute of Chicago,Art Institute of Chicago,1936,1943,['Bachelor'],['Bachelor'],US,US
N00358,Southeast University,東南大學,Harvard University,Harvard University,1935,1943,['Unspecified'],['Unspecified'],China,US
N00360,St. John's University,聖約翰大學,University of Pennsylvania,University of Pennsylvania,1934,1936,['Unspecified'],['Master'],China,US
N00362,University of the Philippines,University of the Philippines,Mapúa Institute of Technology,Mapúa Institute of Technology,1937,1939,['Bachelor'],['Bachelor'],Other,Other
N00362,Mapúa Institute of Technology,Mapúa Institute of Technology,California Institute of Technology,California Institute of Technology,1939,1942,['Bachelor'],['Master'],Other,US
N00363,St. John's University,聖約翰大學,University of Michigan,University of Michigan,1939,1941,['Unspecified'],['Unspecified'],China,US
N00366,St. John's University,聖約翰大學,Purdue University,Purdue University,1935,1943,['Unspecified'],['Unspecified'],China,US
N00369,Jiaotong University,交通大學,University of Illinois,University of Illinois,1922,1943,['Unspecified'],['Unspecified'],China,US
N00370,China College University Department,中國公學大學部,University of Hawaii,University of Hawaii,1922,1935,['Unspecified'],['Bachelor'],China,US
N00374,Central University,中央大學,University of California,University of California,1930,1940,['Unspecified'],['Doctorate'],China,US
N00377,University of Hawaii,University of Hawaii,Harvard University,Harvard University,1941,1943,['Bachelor'],['Unspecified'],US,US
N00379,Nankai University,南開大學,University of Washington,University of Washington,1931,1938,['Unspecified'],['Master'],China,US
N00380,University of Hong Kong,University of Hong Kong,Cornell University,Cornell University,1939,1943,['Unspecified'],['Bachelor'],Other,US
N00381,Jinling University,金陵大學,Harvard University,Harvard University,1940,1943,['Unspecified'],['Unspecified'],China,US
N00382,St. John's University,聖約翰大學,Columbia University,Columbia University,1919,1926,['Unspecified'],['Unspecified'],China,US
N00385,Ginling College,金陵女子文理學院,Oregon State College,Oregon State College,1936,1940,['Unspecified'],['Master'],China,US
N00385,Oregon State College,Oregon State College,University of Wisconsin,University of Wisconsin,1940,1943,['Master'],['Unspecified'],US,US
N00388,Fudan University,復旦大學,University College,University College,1937,1942,['Unspecified'],['Bachelor'],China,Other
N00389,Lingnan University,嶺南大學,Rockford College,Rockford College,1941,1942,['Unspecified'],['Bachelor'],China,US
N00389,Rockford College,Rockford College,Northwestern University,Northwestern University,1942,1943,['Bachelor'],['Unspecified'],US,US
N00390,Beijing University,北京大學,University of Chicago,University of Chicago,1935,1942,['Unspecified'],['Unspecified'],China,US
N00393,University of Chicago,University of Chicago,New York University,New York University,1935,1941,['Bachelor'],['Master'],US,US
N00396,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1935,1943,['Unspecified'],['Unspecified'],China,US
N00397,Mount Mary College,Mount Mary College,Catholic University of America,Catholic University of America,1940,1941,['Unspecified'],['Unspecified'],US,US
N00399,Jinan University,暨南大學,Albion College,Albion College,1936,1938,['Unspecified'],['Unspecified'],China,US
N00399,Albion College,Albion College,Olivet College,Olivet College,1938,1942,['Unspecified'],['Unspecified'],US,US
N00401,Santa Barbara State College,Santa Barbara State College,Stanford University,Stanford University,1941,1943,['Bachelor'],['Unspecified'],US,US
N00404,Central University,中央大學,Wellesley College,Wellesley College,1938,1943,['Unspecified'],['Unspecified'],China,US
N00408,Jinling University,金陵大學,University of Minnesota,University of Minnesota,1939,1941,['Unspecified'],['Master'],China,US
N00409,Fudan University,復旦大學,University of Michigan,University of Michigan,1935,1942,['Unspecified'],['Master'],China,US
N00410,Lingnan University,嶺南大學,University of Washington,University of Washington,1940,1942,['Unspecified'],['Unspecified'],China,US
N00413,Nankai University,南開大學,University of Pennsylvania,University of Pennsylvania,1934,1940,['Unspecified'],['Master'],China,US
N00413,University of Pennsylvania,University of Pennsylvania,Louisiana State University,Louisiana State University,1940,1943,['Master'],['Unspecified'],US,US
N00414,Shanghai University,滬江大學,Purdue University,Purdue University,1939,1941,['Unspecified'],['Master'],China,US
N00415,Zhongshan University,中山大學,University of Illinois,University of Illinois,1937,1940,['Unspecified'],['Master'],China,US
N00415,University of Illinois,University of Illinois,University of Cincinnati,University of Cincinnati,1940,1943,['Master'],['Unspecified'],US,US
N00417,Lingnan University,嶺南大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1941,['Unspecified'],['Master'],China,US
N00417,Massachusetts Institute of Technology,Massachusetts Institute of Technology,University of Illinois,University of Illinois,1941,1943,['Master'],['Doctorate'],US,US
N00418,Lingnan University,嶺南大學,University of Michigan,University of Michigan,1934,1936,['Unspecified'],['Bachelor'],China,US
N00419,Shanghai University,滬江大學,Mount Holyoke College,Mount Holyoke College,1939,1941,['Unspecified'],['Bachelor'],China,US
