id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Hunan University,湖南大學,Hunan University,1,1,0.002421307506053269,1,0.0,0.2424698205971979,0.0006271624313495573,5,39,China,Changsha,Hunan
Hunter College,Hunter College,Hunter College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,39,1,United States,New York City,New York
Hwa Nan College,華南學院,Hwa Nan College,7,9,0.02179176755447942,9,0.006656128168046967,0.2974794935520688,0.0028689844275448864,6,31,China,Fuzhou,Fujian
Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology,4,8,0.01937046004842615,9,0.007993119522337135,0.3055558598928489,0.002764799155352744,5,39,United States,Chicago,Illinois
Indiana Technical College,Indiana Technical College,Indiana Technical College,2,0,0.0,0,0.0,0.0,0.00041419301394496577,40,1,United States,Fort Wayne,Indiana
Indiana University,Indiana University,Indiana University,8,10,0.02421307506053269,13,0.0018841921070203154,0.30694475016508915,0.003302391781259744,4,41,United States,Indianapolis,Indiana
Institut Meurice Chimie,Institut Meurice Chimie,Institut Meurice Chimie,1,0,0.0,0,0.0,0.0,0.00041419301394496577,41,1,Belgium,Brussels,
Institute for Advanced Study,Institute for Advanced Study,Institute for Advanced Study,1,2,0.004842615012106538,2,0.0,0.2597224809089216,0.0007772629326493184,1,62,United States,Princeton,New Jersey
International University,International University,International University,1,2,0.004842615012106538,2,0.0,0.20278632143038924,0.00114498600375357,8,24,Belgium,Brussels,
Iowa State College,Iowa State College,Iowa State College,13,11,0.026634382566585957,15,0.004439816791925041,0.2974794935520688,0.0037074439344860653,7,29,United States,Ames,Iowa
Jiaotong University,交通大學,Jiaotong University,94,27,0.06537530266343826,103,0.015745257086976362,0.33264948293753505,0.019667329541342617,1,62,China,Shanghai,Shanghai
Jiaozuo Institute of Technology,河南焦作工學院,Jiaozuo Institute of Technology,1,0,0.0,0,0.0,0.0,0.00041419301394496577,42,1,China,Jiaozuo,Henan
Jinan University,暨南大學,Jinan University,13,14,0.03389830508474576,21,0.010666696827095225,0.31083012674945737,0.005337742133782827,3,42,China,Shanghai,Shanghai
Jinling University,金陵大學,Jinling University,37,25,0.06053268765133172,48,0.015401077289474709,0.3489811112988094,0.010488528773228901,7,29,China,Nanjing,Jiangsu
Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,9,11,0.026634382566585957,12,0.006859172237372655,0.30180042474332786,0.00347056711447606,7,29,United States,Baltimore,Maryland
Juilliard School of Music,Juilliard School of Music,Juilliard School of Music,4,5,0.012106537530266345,5,0.009298610788361441,0.2843277685739773,0.0027554053567922614,6,31,United States,New York City,New York
Kansas State College,Kansas State College,Kansas State College,4,5,0.012106537530266345,6,0.000564597465207055,0.2913822871038602,0.0017215838607394652,5,39,United States,Manhattan,Kansas
LaSalle College,LaSalle College,LaSalle College,1,1,0.002421307506053269,1,0.0,0.27534289515318905,0.000602331402415968,2,48,United States,Philadelphia,Pennsylvania
Lafayette College,Lafayette College,Lafayette College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,43,1,United States,Easton,Pennsylvania
Lehigh University,Lehigh University,Lehigh University,2,2,0.004842615012106538,2,6.0272305984354406e-05,0.2507997958637683,0.0008854246710167733,8,24,United States,Bethlehem,Pennsylvania
Lenoir-Rhyne College,Lenoir-Rhyne College,Lenoir-Rhyne College,1,2,0.004842615012106538,2,0.0,0.26664499520757995,0.0007749493830514218,4,41,United States,Hickory,North Carolina
Linfield College,Linfield College,Linfield College,2,0,0.0,0,0.0,0.0,0.00041419301394496577,44,1,United States,McMinnville,Oregon
Lingnan University,嶺南大學,Lingnan University,60,46,0.11138014527845037,92,0.03448839979232415,0.37725053092915983,0.01952350978277191,5,39,China,Guangzhou,Guangdong
Los Angeles City College,Los Angeles City College,Los Angeles City College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,45,1,United States,East Hollywood,California
Louisiana State University,Louisiana State University,Louisiana State University,3,6,0.014527845036319613,6,0.0002859357288288839,0.2736690781613763,0.0017384238462107042,4,41,United States,Baton Rouge,Louisiana
Lousiana State University,Lousiana State University,Lousiana State University,3,2,0.004842615012106538,2,0.0,0.27817855833705296,0.0008297516649134096,3,42,United States,Baton Rouge,Louisiana
Lowell Textile Institute,Lowell Textile Institute,Lowell Textile Institute,3,4,0.009685230024213076,4,0.0,0.29813618117580404,0.0011357621092316107,5,39,United States,Lowell,Massachusetts
Loyola University,Loyola University,Loyola University,3,4,0.009685230024213076,5,0.000989053808819201,0.2354937926288391,0.002164071272042411,8,24,United States,Chicago,Illinois
Macalester College,Macalester College,Macalester College,2,1,0.002421307506053269,1,0.0,0.1981741600478932,0.0007144411013165126,1,62,United States,Saint Paul,Minnesota
Madison College,Madison College,Madison College,7,7,0.01694915254237288,9,0.0005622450646720193,0.28919847981293195,0.002500454219530951,3,42,United States,Madison,Wisconsin
Madison General Hospital,Madison General Hospital,Madison General Hospital,1,1,0.002421307506053269,1,0.0,0.22528055057988197,0.000682775550531685,8,24,United States,Madison,Wisconsin
Manchester University,Manchester University,Manchester University,2,3,0.007263922518159807,3,0.003914055337455041,0.2594729876515643,0.0014962988099679918,9,19,United States,North Manchester,Indiana
Manhattan College,Manhattan College,Manhattan College,2,1,0.002421307506053269,1,0.0,0.26198969946195777,0.0005865015404986731,1,62,United States,Riverdale,New York
Mapúa Institute of Technology,Mapúa Institute of Technology,Mapúa Institute of Technology,1,2,0.004842615012106538,2,0.0,0.237774102240562,0.0009779963317537502,1,62,Philippines,Manila,
Marquette University,Marquette University,Marquette University,5,3,0.007263922518159807,3,0.003914055337455042,0.29552667411956063,0.0014791220695827252,3,42,United States,Milwaukee,Wisconsin
Mary Hardin-Baylor College,Mary Hardin-Baylor College,Mary Hardin-Baylor College,1,1,0.002421307506053269,1,0.0,0.1673552541172729,0.001256223251982003,5,39,United States,Belton,Texas
Mary Manse College,Mary Manse College,Mary Manse College,1,1,0.002421307506053269,1,0.0,0.21660896563374377,0.0008332818477900115,3,42,United States,Toledo,Ohio
Maryville College,Maryville College,Maryville College,1,2,0.004842615012106538,2,0.0,0.23611134628083782,0.0010828968591116211,9,19,United States,Maryville,Tennessee
Massachusetts College of Pharmacy,Massachusetts College of Pharmacy,Massachusetts College of Pharmacy,2,1,0.002421307506053269,1,0.0,0.2348794609958943,0.0006176589925573029,2,48,United States,Boston,Massachusetts
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,119,45,0.1089588377723971,119,0.026294837705108813,0.3825940228686664,0.02257004878641522,1,62,United States,Cambridge,Massachusetts
Master Institute of United Arts,Master Institute of United Arts,Master Institute of United Arts,1,1,0.002421307506053269,1,0.0,0.002421307506053269,0.0027612867596299075,10,2,United States,New York City,New York
McGill University,McGill University,McGill University,3,6,0.014527845036319613,6,0.0005428212949258805,0.2720154885652351,0.001723462226846174,1,62,Canada,Montreal,
Medical College of Virginia,Medical College of Virginia,Medical College of Virginia,2,2,0.004842615012106538,2,0.00015233292685091243,0.27590539340682174,0.0009372552709005703,2,48,United States,Richmond,Virginia
Mercer University,Mercer University,Mercer University,2,2,0.004842615012106538,2,0.003914055337455041,0.23611134628083782,0.0015598510086240992,4,41,United States,Macon,Georgia
Merrill-Palmer School,Merrill-Palmer School,Merrill-Palmer School,1,2,0.004842615012106538,2,0.0,0.23285463805627454,0.0008941575735364991,6,31,United States,Detroit,Michigan
Miami University,Miami University,Miami University,1,2,0.004842615012106538,2,0.0,0.2870471627473735,0.0007826856432152965,5,39,United States,Oxford,Ohio
Michigan State College,Michigan State College,Michigan State College,10,10,0.02421307506053269,15,0.008137784094383897,0.30624873032344496,0.003880931420244401,3,42,United States,East Lansing,Michigan
Middlesex University,Middlesex University,Middlesex University,1,0,0.0,0,0.0,0.0,0.00041419301394496577,46,1,United States,Cambridge,Massachusetts
Mills College,Mills College,Mills College,12,8,0.01937046004842615,12,0.0002390032434245482,0.32504377875484775,0.0025614388345760234,3,42,United States,Oakland,California
Millsaps College,Millsaps College,Millsaps College,1,2,0.004842615012106538,2,0.0,0.2473547437227825,0.0008383251873284619,4,41,United States,Jackson,Mississippi
Missouri School of Mines & Metals,Missouri School of Mines & Metals,Missouri School of Mines & Metals,2,2,0.004842615012106538,2,0.0,0.29585036160490524,0.0007795462149805083,2,48,United States,Rolla,Missouri
Monmouth College,Monmouth College,Monmouth College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,47,1,United States,West Long Branch,New Jersey
Montana School of Mines,Montana School of Mines,Montana School of Mines,2,1,0.002421307506053269,1,0.0,0.2424698205971979,0.0006271624313495573,5,39,United States,Butte,Montana
Montana State College,Montana State College,Montana State College,1,2,0.004842615012106538,2,0.0,0.24031261578761426,0.0008388790115931683,1,62,United States,Bozeman,Montana
Moody Bible Institute,Moody Bible Institute,Moody Bible Institute,3,0,0.0,0,0.0,0.0,0.00041419301394496577,48,1,United States,Chicago,Illinois
Morningside College,Morningside College,Morningside College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,49,1,United States,Sioux City,Iowa
Morningside Conservatory of Music,Morningside Conservatory of Music,Morningside Conservatory of Music,1,2,0.004842615012106538,2,0.0,0.21836004862189043,0.0011511853818114883,6,31,United States,Sioux City,Iowa
Mount Holyoke College,Mount Holyoke College,Mount Holyoke College,9,8,0.01937046004842615,10,0.003824497625080675,0.31154715126329696,0.002680484460952371,2,48,United States,South Hadley,Massachusetts
Mount Mary College,Mount Mary College,Mount Mary College,2,1,0.002421307506053269,1,0.0,0.2142041079661209,0.0007355259921585687,8,24,United States,Milwaukee,Wisconsin
