student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N01306,Fujian Union University,福建協和大學,1929,['Unspecified'],China,Yenching University,燕京大學,1935,['Unspecified'],China,Michigan State College,Michigan State College,1943,['Unspecified'],US
N01307,Fujian Union University,福建協和大學,1931,['Unspecified'],China,Yenching University,燕京大學,1937,['Unspecified'],China,University of Pennsylvania,University of Pennsylvania,1942,['Master'],US
N01322,Propaganda Fide,Propaganda Fide,1934,['Doctorate'],Other,Columbia University,Columbia University,1942,['Master'],US,Fordham University,Fordham University,1943,['Unspecified'],US
N01347,Jinling University,金陵大學,1929,['Unspecified'],China,Ohio Wesleyan University,Ohio Wesleyan University,1931,['Bachelor'],US,Johns Hopkins University,Johns Hopkins University,1941,['Doctorate'],US
N01348,Lingnan University,嶺南大學,1937,['Unspecified'],China,Pomona College,Pomona College,1938,['Unspecified'],US,University of Southern California,University of Southern California,1943,['Unspecified'],US
N01350,Beijing University,北京大學,1935,['Unspecified'],China,University of Maryland,University of Maryland,1942,['Unspecified'],US,University of Illinois,University of Illinois,1943,['Unspecified'],US
N01355,Southwest Associated University,西南聯合大學,1940,['Unspecified'],China,College of St. Teresa,College of St. Teresa,1942,['Bachelor'],US,Radcliffe College,Radcliffe College,1943,['Unspecified'],US
N01359,University of British Columbia,University of British Columbia,1937,['Bachelor'],Other,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1942,['Unspecified'],US,Purdue University,Purdue University,1943,['Master'],US
N01361,Guanghua University,光華大學,1932,['Unspecified'],China,Yenching University,燕京大學,1934,['Unspecified'],China,University of Toronto,University of Toronto,1942,['Doctorate'],Other
N01378,Yenching University,燕京大學,1935,['Unspecified'],China,University of Kansas,University of Kansas,1941,['Master'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N01388,Xiamen University,廈門大學,1934,['Unspecified'],China,University of London,University of London,1939,['Doctorate'],Other,California Institute of Technology,California Institute of Technology,1943,['Unspecified'],US
N01393,University of Brussels,University of Brussels,1940,['Unspecified'],Other,University of Geneva,University of Geneva,1941,['Unspecified'],Other,Columbia University,Columbia University,1943,['Master'],US
N01403,Datong University,大同大學,1939,['Unspecified'],China,University of Michigan,University of Michigan,1941,['Bachelor'],US,California Institute of Technology,California Institute of Technology,1942,['Master'],US
N01414,University of Illinois,University of Illinois,1939,['Bachelor'],US,University of Pennsylvania,University of Pennsylvania,1941,['Master'],US,University of Chicago,University of Chicago,1942,['Unspecified'],US
N01414,University of Pennsylvania,University of Pennsylvania,1941,['Master'],US,University of Chicago,University of Chicago,1942,['Unspecified'],US,State University of Iowa,State University of Iowa,1943,['Unspecified'],US
